,Datetime,GBPUSD,EURUSD
0,2024-05-12 23:00:00+00:00,1.2522854804992676,1.0773539543151855
1,2024-05-13 00:00:00+00:00,1.2520816326141357,1.0772379636764526
2,2024-05-13 01:00:00+00:00,1.252018928527832,1.0771219730377197
3,2024-05-13 02:00:00+00:00,1.2525835037231445,1.077470064163208
4,2024-05-13 03:00:00+00:00,1.2527559995651245,1.077470064163208
5,2024-05-13 04:00:00+00:00,1.2524893283843994,1.0772379636764526
6,2024-05-13 05:00:00+00:00,1.252881646156311,1.07758629322052
7,2024-05-13 06:00:00+00:00,1.2524735927581787,1.0771219730377197
8,2024-05-13 07:00:00+00:00,1.2524266242980957,1.077818512916565
9,2024-05-13 08:00:00+00:00,1.2531641721725464,1.0786322355270386
10,2024-05-13 09:00:00+00:00,1.2528188228607178,1.0786322355270386
11,2024-05-13 10:00:00+00:00,1.2533841133117676,1.078515887260437
12,2024-05-13 11:00:00+00:00,1.2546263933181763,1.079214334487915
13,2024-05-13 12:00:00+00:00,1.2555716037750244,1.0800302028656006
14,2024-05-13 13:00:00+00:00,1.2565497159957886,1.0807305574417114
15,2024-05-13 14:00:00+00:00,1.2564234733581543,1.0806137323379517
16,2024-05-13 15:00:00+00:00,1.2559658288955688,1.0797970294952393
17,2024-05-13 16:00:00+00:00,1.2560920715332031,1.0796804428100586
18,2024-05-13 17:00:00+00:00,1.2559500932693481,1.0794472694396973
19,2024-05-13 18:00:00+00:00,1.2557923793792725,1.0793308019638062
20,2024-05-13 19:00:00+00:00,1.2554454803466797,1.079097867012024
21,2024-05-13 20:00:00+00:00,1.2558711767196655,1.0793308019638062
22,2024-05-13 21:00:00+00:00,1.2559658288955688,1.079097867012024
23,2024-05-13 22:00:00+00:00,1.2558870315551758,1.079214334487915
24,2024-05-13 23:00:00+00:00,1.2560920715332031,1.0794472694396973
25,2024-05-14 00:00:00+00:00,1.2557765245437622,1.079097867012024
26,2024-05-14 01:00:00+00:00,1.2556819915771484,1.079097867012024
27,2024-05-14 02:00:00+00:00,1.2556819915771484,1.0789813995361328
28,2024-05-14 03:00:00+00:00,1.2557923793792725,1.0789813995361328
29,2024-05-14 04:00:00+00:00,1.255429744720459,1.0788650512695312
30,2024-05-14 05:00:00+00:00,1.2554140090942383,1.0788650512695312
31,2024-05-14 06:00:00+00:00,1.2558239698410034,1.079097867012024
32,2024-05-14 07:00:00+00:00,1.25520920753479,1.0789813995361328
33,2024-05-14 08:00:00+00:00,1.2531170845031738,1.0787487030029297
34,2024-05-14 09:00:00+00:00,1.2543588876724243,1.079563856124878
35,2024-05-14 10:00:00+00:00,1.255508542060852,1.0800302028656006
36,2024-05-14 11:00:00+00:00,1.2553194761276245,1.079563856124878
37,2024-05-14 12:00:00+00:00,1.2554612159729004,1.0806137323379517
38,2024-05-14 13:00:00+00:00,1.2583681344985962,1.0821340084075928
39,2024-05-14 14:00:00+00:00,1.2589701414108276,1.0827198028564453
40,2024-05-14 15:00:00+00:00,1.2586848735809326,1.0820168256759644
41,2024-05-14 16:00:00+00:00,1.2585898637771606,1.0820168256759644
42,2024-05-14 17:00:00+00:00,1.2586215734481812,1.0822510719299316
43,2024-05-14 18:00:00+00:00,1.2589701414108276,1.0822510719299316
44,2024-05-14 19:00:00+00:00,1.2592079639434814,1.0824854373931885
45,2024-05-14 20:00:00+00:00,1.2591603994369507,1.0822510719299316
46,2024-05-14 21:00:00+00:00,1.258985996246338,1.0821340084075928
47,2024-05-14 22:00:00+00:00,1.258954405784607,1.0820168256759644
48,2024-05-14 23:00:00+00:00,1.258447289466858,1.0817828178405762
49,2024-05-15 00:00:00+00:00,1.2589384317398071,1.0820168256759644
50,2024-05-15 01:00:00+00:00,1.2592713832855225,1.0824854373931885
51,2024-05-15 02:00:00+00:00,1.2596203088760376,1.0828369855880737
52,2024-05-15 03:00:00+00:00,1.2599060535430908,1.0829542875289917
53,2024-05-15 04:00:00+00:00,1.2594616413116455,1.08236825466156
54,2024-05-15 05:00:00+00:00,1.25982666015625,1.0829542875289917
55,2024-05-15 06:00:00+00:00,1.2593982219696045,1.0833063125610352
56,2024-05-15 07:00:00+00:00,1.2594457864761353,1.0828369855880737
57,2024-05-15 08:00:00+00:00,1.2613362073898315,1.0833063125610352
58,2024-05-15 09:00:00+00:00,1.2624987363815308,1.0830715894699097
59,2024-05-15 10:00:00+00:00,1.2605730295181274,1.0827198028564453
60,2024-05-15 11:00:00+00:00,1.2612885236740112,1.0830715894699097
